Owner,total_capacity,number_of_plants,number_of_countries
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,1,1
Lianyungang Xingxin Iron and Steel Co Ltd,3000.0,1,1
Lengshuijiang Iron and Steel Co Ltd,3000.0,1,1
Tianjin Pipe Corp,3000.0,1,1
Jinding Heavy Industries Co Ltd,3000.0,1,1
Egyptian Sponge Iron & Steel Company SAE,3000.0,1,1
DELONG Steel Ltd,3000.0,1,1
Jindal Stainless Ltd,3000.0,2,1
Nanyang Hanye SPECIAL STREET Co Ltd,3000.0,1,1
NMDC Steel Ltd,3000.0,1,1
Tangshan Guotang Steel Co Ltd,3000.0,1,1
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,2980.0,1,1
Qingdao Special Iron and Steel Co Ltd,2950.0,1,1
Zaporiz'kyi Metalurhiinyi Kombinat Zaporizhstal' PJSC,2930.0,1,1
Tung Ho Steel Enterprise Corp,2900.0,3,1
Shyam Metalics and Energy Ltd,2859.0,2,1
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,2850.0,1,1
PT Gunung Raja Paksi Tbk,2800.0,1,1
WISCO Group Kunming Steel Co Ltd,2800.0,2,1
TRINECKÉ ZELEZÁRNY AS,2800.0,2,1
Fangda Special Steel Technology Co Ltd,2800.0,1,1
ShanXi TongCai Industry and Trade Co Ltd,2780.0,1,1
AG der Dillinger Hüttenwerke AG,2760.0,1,1
Liyang Baorun Steel Co Ltd,2760.0,1,1
Chifeng Zhongtang Special Steel Co Ltd,2700.0,1,1
Eastern Steel Sdn Bhd,2700.0,1,1
Jinan Iron & Steel Group Co Ltd,2700.0,1,1
Anhui Guihang Special Steel Co Ltd,2700.0,1,1
Fulun Iron & Steel Co Ltd,2700.0,1,1
Fushun New Steel Corp Ltd,2700.0,2,1
Jilin Jianlong Steel Co Ltd,2700.0,1,1
Shanxi Gaoyi Steel Co Ltd,2700.0,1,1
Arvand Jahanara Steel Co,2700.0,1,1
Tongling City Xuanli Special Steel Co Ltd,2700.0,1,1
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695.0,1,1
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2650.0,1,1
Anyuan Iron & Steel Co Ltd,2650.0,1,1
Kyoei Steel Ltd,2645.0,3,1
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,2600.0,2,1
Arab Steel Co,2600.0,1,1
Benxi Beiying Iron & Steel (GROUP) Co Ltd,2600.0,1,1
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,2600.0,1,1
Sichuan Dazhou Iron & Steel Group Co Ltd,2600.0,1,1
Qatar Steel Company QPSC,2574.0,1,1
Jianlong Beiman SPECIAL Steel Co Ltd,2570.0,1,1
Hoa Phat Hai Duong Steel JSC,2525.0,1,1
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,2500.0,1,1
Shanxi Tongde Xinghua Special Steel Co Ltd,2500.0,1,1
Badische Stahlwerke GmbH,2500.0,1,1
Compania Espanola de Laminacion SL,2500.0,1,1
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500.0,1,1
Gerdau Acos Longos SA,2486.0,3,1
Chifeng Yuanlian Steel Co Ltd,2450.0,1,1
SSAB Americas Holding AB,2450.0,2,1
Tangshan Zhengfeng Steel Co Ltd,2439.0,1,1
Jindal Shadeed Iron & Steel LLC,2400.0,1,1
Yangzhou Qinyou Special Metal Materials Co Ltd,2400.0,1,1
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400.0,1,1
Guangdong Jinshenglan Metallurgical Technology Co Ltd,2400.0,1,1
ArcelorMittal Long Products Canada GP,2400.0,1,1
Kish South Kaveh Steel Co,2400.0,1,1
Yangchun New Iron & Steel Co Ltd,2400.0,1,1
ArcelorMittal Eisenhüttenstadt GmbH,2400.0,2,1
Hebei Tangyin IRON&STEEL Co Ltd,2300.0,1,1
Liaoyang United Steel Co Ltd,2300.0,1,1
